"","TraitsComb","Top4","Winner","AvgPlacement","PickTimes"
"1","Transformer",0.253,0.025,5.696,79
"2","Bruiser,Cuddly,Glutton,Sister,Transformer",0.922,0.314,2.373,51
"3","Arcanist,Cuddly",0.662,0.166,3.593,145
"4","Socialite",0.217,0.024,6.133,83
"5","Chemtech,Twinshot",0.462,0.154,4.231,13
"6","Clockwork,Cuddly,Transformer",0.75,0.25,3.875,8
"7","Academy,Cuddly,Imperial",1,0.5,3,4
"8","Bruiser,Cuddly,Glutton",0.528,0.111,4.333,36
"9","Cuddly",0.5,0.082,4.673,110
"10","Arcanist",0.297,0.043,5.442,138
"11","Bruiser,Sister,Socialite",1,0.4,6.4,5
"12","Bruiser,Glutton",0.455,0.078,4.909,77
"13","Chemtech",0.456,0.074,4.755,204
"14","Imperial",0.269,0.038,6.269,26
"15","Bruiser,Glutton,Mutant",0.711,0.222,3.4,45
"16","Cuddly,Glutton,Transformer",0.689,0.356,3.311,45
"17","Arcanist,Cuddly,Scholar",0.81,0.381,2.524,21
"18","Arcanist,Cuddly,Enchanter",0.667,0.121,3.606,33
"19","Glutton,Transformer",0.5,0.107,4.393,28
"20","Academy,Challenger,Cuddly,Transformer",0.795,0.341,2.773,44
"21","Enchanter",0.31,0.017,5.741,58
"22","Enchanter,Innovator,Socialite,Transformer",0.763,0.237,3.206,97
"23","Challenger,Socialite",0.37,0.074,5.407,27
"24","Chemtech,Sister",0.5,0.15,4.65,20
"25","Arcanist,Yordle",0.593,0.074,6.222,27
"26","Cuddly,Mutant,Transformer",0.875,0.375,3.75,8
"27","Arcanist,Enchanter",0.696,0.087,4.652,46
"28","Cuddly,Enchanter,Socialite",0.66,0.12,3.72,50
"29","Academy,Enchanter",0.444,0.111,5.333,9
"30","Colossus,Mutant,Socialite",0.533,0.067,4.333,15
"31","Bruiser,Cuddly,Glutton,Transformer",0.824,0.235,3.059,17
"32","Cuddly,Glutton,Sister,Socialite",1,0.333,2,3
"33","Enchanter,Socialite",0.333,0.053,5.36,75
"34","Mercenary",1,0.071,7.286,14
"35","Clockwork,Innovator,Transformer",0.875,0.125,3.625,8
"36","Bruiser,Sister,Twinshot",0.353,0.059,5.235,17
"37","Bruiser,Sister,Transformer,Twinshot",1,0.333,3,3
"38","Bodyguard,Cuddly,Syndicate",1,0.25,3.5,4
"39","Challenger,Transformer",0.508,0.169,4.369,65
"40","Academy,Arcanist,Cuddly",0.625,0.156,4.094,32
"41","Sniper,Transformer",0.611,0.333,3.667,18
"42","Glutton,Sister,Twinshot",1,1,5,3
"43","Colossus,Imperial,Socialite",0.519,0.093,4.611,54
"44","Academy,Arcanist",0.375,0.062,5.812,16
"45","Academy,Challenger,Transformer",0.7,0.4,4.6,10
"46","Academy,Cuddly,Socialite,Transformer",0.75,0.25,3.188,16
"47","Cuddly,Transformer",0.583,0.078,4.019,103
"48","Bruiser,Glutton,Sister,Transformer",0.73,0.216,3.216,37
"49","Academy,Challenger,Cuddly",0.711,0.281,3.372,121
"50","Mutant",0.336,0.061,5.496,131
"51","Cuddly,Glutton,Socialite",0.615,0.231,4.846,13
"52","Glutton,Socialite,Transformer",0.625,0.125,3.75,8
"53","Yordle",0.126,0.006,6.523,174
"54","Bruiser,Chemtech,Mutant",1,0.25,2.5,4
"55","Challenger,Cuddly,Enchanter",0.667,0.067,3.933,15
"56","Challenger,Cuddly,Enchanter,Socialite",0.7,0.1,3.5,10
"57","Bruiser,Chemtech,Cuddly,Glutton",1,0.3,2.9,10
"58","Cuddly,Syndicate",0.513,0.154,4.564,39
"59","Glutton",0.4,0.067,5.733,30
"60","Bruiser,Chemtech,Sister",0.409,0.045,5.136,22
"61","Cuddly,Enchanter,Socialite,Transformer",0.808,0.288,2.769,52
"62","Cuddly,Socialite,Transformer",0.771,0.2,3.229,35
"63","Sister,Socialite",1,0.25,6,4
"64","Arcanist,Cuddly,Enchanter,Socialite",0.818,0.182,3.273,11
"65","Academy,Cuddly",0.557,0.163,4.124,282
"66","Chemtech,Sister,Transformer",0.818,0.182,4.364,11
"67","Sniper",0.349,0.047,5.488,43
"68","Enchanter,Innovator,Socialite",0.545,0.091,5.727,22
"69","Academy,Cuddly,Transformer",0.754,0.211,3.211,114
"70","Protector",0.362,0.05,5.287,80
"71","Bodyguard",0.52,0.16,5.84,25
"72","Arcanist,Syndicate",0.9,0.1,3.6,10
"73","Glutton,Mercenary,Socialite",1,0.4,4.4,5
"74","Challenger,Cuddly,Transformer",0.677,0.277,3.431,65
"75","Arcanist,Cuddly,Transformer",0.826,0.391,3.174,23
"76","Syndicate",0.315,0.056,5.241,54
"77","Bruiser",0.261,0.058,6.42,69
"78","Mutant,Sister",1,0.25,3.75,4
"79","Bodyguard,Enchanter",0.75,0.25,4.333,12
"80","Chemtech,Socialite",0.55,0.15,5.15,20
"81","Bruiser,Chemtech",0.484,0.097,5.452,31
"82","Challenger,Imperial",0.55,0.025,5.175,40
"83","Challenger,Cuddly,Socialite,Transformer",1,0.429,2.286,7
"84","Arcanist,Glutton",0.385,0.154,5.385,13
"85","Academy,Challenger",0.419,0.023,5.651,43
"86","Challenger",0.327,0.062,5.463,162
"87","Assassin,Syndicate",0.441,0.097,4.682,195
"88","Socialite,Transformer",0.52,0.04,5.4,25
"89","Cuddly,Enchanter",0.532,0.021,4.574,47
"90","Bruiser,Chemtech,Cuddly",0.889,0.333,4.333,9
"91","Bruiser,Transformer",0.6,0.133,5.267,15
"92","Cuddly,Mutant",0.688,0.125,3.75,16
"93","Challenger,Cuddly",0.437,0.113,4.662,71
"94","Innovator",0.158,0.026,6.526,38
"95","Academy,Transformer",0.297,0.054,5.568,37
"96","Bruiser,Chemtech,Cuddly,Glutton,Sister",0.913,0.348,2.217,23
"97","Assassin,Cuddly,Syndicate",0.635,0.206,3.54,63
"98","Academy",0.277,0.034,5.831,148
"99","Bruiser,Chemtech,Glutton,Sister",0.72,0.1,3.38,50
"100","Bruiser,Sister",0.441,0.059,5.206,34
"101","Bruiser,Sister,Transformer",0.643,0.143,4.429,14
"102","Academy,Protector",0.386,0.088,4.86,57
"103","Challenger,Cuddly,Imperial",1,0.667,3.667,3
"104","Bruiser,Chemtech,Glutton",0.542,0.146,4.188,48
"105","Challenger,Glutton",0.917,0.167,5.917,12
"106","Academy,Cuddly,Glutton",0.875,0.375,2.562,16
"107","Chemtech,Cuddly",0.522,0.09,4.284,67
"108","Cuddly,Sister,Transformer,Twinshot",1,0.25,2.25,4
"109","Glutton,Sister,Transformer",0.667,0.167,4,12
"110","Cuddly,Sniper,Transformer",0.923,0.308,2.308,13
"111","Mutant,Socialite",0.476,0.143,4.762,21
"112","Academy,Cuddly,Protector",0.667,0.273,3.424,33
"113","Bruiser,Glutton,Sister,Twinshot",0.757,0.162,3.486,37
"114","Arcanist,Bodyguard",1,0.2,4.6,5
"115","Cuddly,Glutton,Sister,Transformer",0.826,0.413,2.5,46
"116","Colossus,Mutant",0.55,0.275,4.075,40
"117","Bruiser,Glutton,Mercenary",0.259,0.074,5.63,27
"118","Cuddly,Enchanter,Scholar",0.833,0.167,4.5,6
"119","Chemtech,Cuddly,Glutton",0.688,0.25,3.125,16
"120","Enchanter,Glutton,Transformer",0.667,0.167,4.833,6
"121","Bruiser,Cuddly,Sister,Transformer",0.9,0.3,3.5,10
"122","Cuddly,Innovator,Transformer",0.87,0.217,2.957,23
"123","Chemtech,Cuddly,Transformer",0.818,0.182,3.136,22
"124","Chemtech,Cuddly,Sister",1,0.333,4.333,3
"125","Academy,Arcanist,Cuddly,Transformer",1,0.25,3.25,4
"126","Bruiser,Cuddly",0.5,0.167,5.278,18
"127","Challenger,Enchanter",0.5,0.062,4.438,16
"128","Colossus,Cuddly,Mutant",1,0.4,2,5
"129","Bruiser,Chemtech,Cuddly,Sister,Transformer",1,0.25,4,4
"130","Bruiser,Sniper",1,0.25,5,4
"131","Chemtech,Glutton",0.381,0.048,5.524,21
"132","Enchanter,Socialite,Transformer",0.483,0.069,4.724,29
"133","Cuddly,Enchanter,Transformer",0.609,0.087,4.174,23
"134","Bruiser,Glutton,Mercenary,Sister",0.636,0.091,4,11
"135","Glutton,Sniper",0.636,0.273,3.636,11
"136","Syndicate,Transformer",0.5,0.071,6.143,14
"137","Innovator,Transformer",0.465,0.099,4.549,71
"138","Mutant,Protector,Transformer",1,0.25,2.25,4
"139","Sister",0.667,0.095,5.857,21
"140","Challenger,Cuddly,Glutton",1,0.429,4,7
"141","Cuddly,Enchanter,Sister,Transformer",1,0.5,3.75,4
"142","Arcanist,Socialite",0.412,0.059,4.824,34
"143","Bruiser,Enforcer,Glutton,Sister,Transformer",1,0.667,2.333,3
"144","Bruiser,Cuddly,Glutton,Sister,Twinshot",0.875,0.25,2.875,8
"145","Mutant,Transformer",0.667,0.222,4.333,9
"146","Academy,Socialite",0.343,0.029,5.514,35
"147","Innovator,Socialite,Transformer",0.55,0.075,4.25,40
"148","Assassin,Socialite",0.471,0.059,4.824,17
"149","Bruiser,Cuddly,Glutton,Sister",0.58,0.14,3.72,50
"150","Sister,Twinshot",1,0.167,4.333,6
"151","Academy,Cuddly,Socialite",0.477,0.159,4.591,44
"152","Enforcer,Sniper,Transformer",0.8,0.2,4.6,5
"153","Bruiser,Glutton,Twinshot",0.8,0.2,3.7,10
"154","Chemtech,Enchanter",0.833,0.167,4.333,12
"155","Sister,Socialite,Transformer",1,0.2,4.4,5
"156","Cuddly,Innovator,Socialite,Transformer",0.688,0.375,3.25,16
"157","Cuddly,Syndicate,Transformer",0.643,0.214,3.857,14
"158","Cuddly,Sister,Transformer",0.75,0.275,3.45,40
"159","Enforcer,Sister,Transformer",0.667,0.222,5,9
"160","Cuddly,Glutton",0.514,0.114,4.514,35
"161","Cuddly,Socialite",0.462,0.077,4.558,52
"162","Clockwork",0.462,0.077,6.308,13
"163","Glutton,Mercenary,Sister,Transformer",0.667,0.167,5.167,6
"164","Sister,Transformer",0.6,0.114,4.943,35
"165","Colossus",0.667,0.133,6.4,15
"166","Assassin,Imperial",0.824,0.118,4.059,17
"167","Protector,Transformer",0.833,0.083,4.833,12
"168","Bruiser,Mutant",0.457,0.065,5.043,46
"169","Bruiser,Chemtech,Glutton,Sister,Transformer",0.824,0.235,2.941,17
"170","Socialite,Syndicate",0.75,0.167,4.333,12
"171","Cuddly,Scholar,Syndicate",1,0.125,4.25,8
"172","Chemtech,Transformer",0.367,0.067,5.233,30
"173","Cuddly,Glutton,Socialite,Transformer",0.9,0.4,2.9,10
"174","Academy,Challenger,Socialite",1,0.4,5.2,5
"175","Cuddly,Sniper",0.68,0.2,4.28,25
"176","Bruiser,Chemtech,Cuddly,Sister",1,0.444,4.778,9
"177","Bruiser,Cuddly,Sister",0.889,0.111,3.222,9
"178","Enchanter,Innovator,Scholar,Socialite,Transformer",1,0.75,1.5,4
"179","Mutant,Protector,Twinshot",1,0.333,3.333,3
"180","Cuddly,Sister",0.619,0.048,4.333,21
"181","Cuddly,Enforcer,Transformer",0.833,0.167,4.333,6
"182","Bruiser,Chemtech,Cuddly,Glutton,Sister,Transformer",1,0.6,1.7,10
"183","Assassin,Transformer",1,0.222,4.889,9
"184","Cuddly,Glutton,Innovator,Transformer",1,0.333,3.167,6
"185","Cuddly,Glutton,Sister",0.929,0.429,3.643,14
"186","Enchanter,Yordle",0.333,0.067,5.333,15
"187","Protector,Twinshot",1,0.25,4.75,4
"188","Academy,Assassin,Cuddly",0.846,0.154,3.154,13
"189","Bodyguard,Enchanter,Socialite",1,0.25,4.5,4
"190","Challenger,Glutton,Mutant",1,0.333,2.333,3
"191","Academy,Enchanter,Socialite",0.778,0.222,4.222,9
"192","Cuddly,Glutton,Mercenary,Transformer",0.9,0.2,3.2,10
"193","Bodyguard,Syndicate",1,0.154,6.769,13
"194","Arcanist,Cuddly,Socialite",0.697,0.182,3.667,33
"195","Arcanist,Enchanter,Socialite",0.609,0.13,4.043,23
"196","Assassin,Glutton",0.833,0.167,4.167,6
"197","Enchanter,Sniper",1,0.2,4.6,5
"198","Bodyguard,Sniper",0.889,0.111,5.667,9
"199","Cuddly,Innovator,Sister,Transformer",1,0.625,1.5,8
"200","Cuddly,Enforcer",1,0.4,5.2,5
"201","Mutant,Protector",0.708,0.208,3.5,24
"202","Assassin",0.404,0.088,5,57
"203","Challenger,Enchanter,Socialite",0.857,0.143,5.143,7
"204","Enchanter,Sister,Transformer",0.833,0.333,4.5,6
"205","Bruiser,Glutton,Sister",0.6,0.138,3.85,80
"206","Glutton,Syndicate,Transformer",1,0.667,5.667,3
"207","Bruiser,Glutton,Mercenary,Transformer",1,0.25,4.75,4
"208","Glutton,Sister",1,0.375,5.875,8
"209","Cuddly,Socialite,Syndicate",0.857,0.143,4.857,7
"210","Academy,Arcanist,Cuddly,Socialite",1,0.5,3,6
"211","Arcanist,Cuddly,Scholar,Transformer",1,0.25,4,4
"212","Academy,Cuddly,Enchanter",0.607,0.107,4.107,28
"213","Enforcer,Glutton,Sister,Transformer",1,0.25,4.25,4
"214","Bruiser,Glutton,Transformer",0.519,0.111,4.296,27
"215","Bruiser,Socialite",0.7,0.1,6.5,10
"216","Bruiser,Chemtech,Glutton,Transformer",0.9,0.3,2.8,10
"217","Bodyguard,Cuddly",0.8,0.2,4.2,5
"218","Bruiser,Chemtech,Sister,Transformer",0.75,0.125,4.5,8
"219","Clockwork,Sniper",1,0.5,5.25,4
"220","Glutton,Protector",1,0.333,5,3
"221","Bodyguard,Transformer",1,0.2,3.8,5
"222","Academy,Cuddly,Enchanter,Transformer",1,0.667,4,3
"223","Cuddly,Enchanter,Glutton,Sister,Transformer",1,0.727,2,11
"224","Clockwork,Cuddly",0.727,0.091,4.545,11
"225","Assassin,Socialite,Syndicate",0.833,0.333,5.333,6
"226","Clockwork,Transformer",1,0.2,4.8,5
"227","Innovator,Scrap",1,0.25,6.75,4
"228","Bodyguard,Cuddly,Socialite",1,1,5,3
"229","Academy,Bodyguard,Cuddly",1,0.5,3,4
"230","Bruiser,Cuddly,Sister,Twinshot",1,0.5,3.75,4
"231","Academy,Challenger,Cuddly,Socialite",1,0.25,3,4
"232","Imperial,Socialite",0.364,0.091,6.545,11
"233","Cuddly,Scholar",0.444,0.111,4,9
"234","Bruiser,Mutant,Sister",1,0.167,6.333,6
"235","Assassin,Cuddly,Socialite",1,0.2,2.4,5
"236","Challenger,Imperial,Transformer",0.714,0.143,4,7
"237","Bruiser,Cuddly,Transformer",1,0.25,4.5,4
"238","Assassin,Cuddly,Socialite,Syndicate",1,0.167,3.667,6
"239","Mutant,Sniper",1,0.333,2.333,3
"240","Assassin,Cuddly,Syndicate,Transformer",1,0.667,2,3
"241","Assassin,Bodyguard",0.833,0.333,4.833,6
"242","Cuddly,Yordle,YordleLord",1,0.2,2.2,5
"243","Bruiser,Cuddly,Scrap,Sister",1,0.333,4,3
"244","Cuddly,Glutton,Mutant",1,0.25,3.25,4
"245","Glutton,Scrap",1,0.167,4.5,6
"246","Assassin,Chemtech",1,0.2,4.2,5
"247","Innovator,Socialite",0.522,0.13,6.565,23
"248","Challenger,Cuddly,Enchanter,Transformer",0.75,0.417,2.833,12
"249","Academy,Assassin,Cuddly,Transformer",1,0.5,3,4
"250","Arcanist,Cuddly,Socialite,Transformer",1,0.25,3.25,4
"251","Arcanist,Transformer",0.4,0.1,5.6,20
"252","Cuddly,Sister,Socialite",1,0.167,4.5,6
"253","Arcanist,Mutant",0.591,0.136,4.045,22
"254","Colossus,Cuddly,Imperial,Socialite",0.778,0.111,3.222,9
"255","Arcanist,Cuddly,Glutton",0.875,0.125,2.625,8
"256","Cuddly,Socialite,Syndicate,Transformer",1,0.5,4,4
"257","Assassin,Syndicate,Transformer",0.778,0.222,4.778,9
"258","Bruiser,Glutton,Mercenary,Sister,Twinshot",1,0.556,1.778,9
"259","Academy,Challenger,Cuddly,Enchanter",1,0.667,1.667,3
"260","Glutton,Sniper,Transformer",1,0.25,3.5,4
"261","Enforcer,Socialite,Transformer",1,0.333,4.333,3
"262","Enchanter,Sister",1,0.25,5.75,4
"263","Yordle,YordleLord",0.721,0.176,3.382,68
"264","Cuddly,Innovator",1,0.125,6.75,8
"265","Cuddly,Yordle",0.583,0.083,5.167,12
"266","Colossus,Imperial",0.765,0.059,4.471,17
"267","Academy,Socialite,Transformer",0.625,0.125,5,8
"268","Glutton,Mutant",1,0.4,5.2,5
"269","Assassin,Cuddly",0.562,0.062,4.438,16
"270","Enforcer,Transformer",1,0.2,5,5
"271","Academy,Cuddly,Enchanter,Socialite",0.588,0.294,3.765,17
"272","Bruiser,Colossus,Mutant",0.833,0.167,3.667,6
"273","Imperial,Syndicate",1,0.25,5.5,4
"274","Cuddly,Scholar,Sister,Transformer",1,0.333,2.667,3
"275","Protector,Sniper",0.8,0.2,4.8,5
"276","Bruiser,Chemtech,Transformer",1,1,6,3
"277","Arcanist,Yordle,YordleLord",1,0.4,3,5
"278","Challenger,Enchanter,Transformer",1,0.1,6.9,10
"279","Glutton,Mercenary,Twinshot",0.5,0.15,5.1,20
"280","Cuddly,Enchanter,Glutton,Socialite",1,0.25,3.25,4
"281","Cuddly,Enchanter,Sniper",1,0.333,4.667,3
"282","Cuddly,Enchanter,Glutton,Socialite,Transformer",1,0.625,2,8
"283","Cuddly,Enchanter,Scholar,Socialite,Transformer",1,0.333,1.667,3
"284","Twinshot",0.35,0.05,6,20
"285","Clockwork,Socialite",1,0.25,5.5,4
"286","Academy,Cuddly,Scholar",1,0.25,3.875,8
"287","Enchanter,Yordle,YordleLord",1,0.273,2.545,11
"288","Glutton,Mercenary,Transformer",1,0.2,3.8,5
"289","Glutton,Mercenary,Sister",0.714,0.143,6.143,7
"290","Challenger,Enforcer",1,0.333,4.667,3
"291","Colossus,Imperial,Mutant",1,0.5,3.25,4
"292","Glutton,Mercenary",0.688,0.062,6.75,16
"293","Scrap",0.6,0.1,5.8,10
"294","Cuddly,Enchanter,Innovator,Scholar,Socialite,Transformer",0.833,0.333,3,6
"295","Assassin,Glutton,Syndicate",1,0.2,5.4,5
"296","Colossus,Protector",1,0.25,4.875,8
"297","Mercenary,Twinshot",1,0.2,7,5
"298","Cuddly,Innovator,Scholar",1,0.25,6.25,4
"299","Chemtech,Cuddly,Scholar",1,0.25,5,4
"300","Academy,Assassin",0.5,0.071,4.571,14
"301","Cuddly,Scrap",1,0.333,3.667,3
"302","Academy,Protector,Transformer",1,0.333,5,3
"303","Enchanter,Transformer",0.5,0.062,5.125,16
"304","Colossus,Cuddly,Socialite",1,0.333,4.667,3
"305","Cuddly,Enchanter,Sister",1,0.333,4,3
"306","Academy,Cuddly,Sister,Transformer",1,0.333,3,3
"307","Cuddly,Protector",0.8,0.2,4.4,5
"308","Bruiser,Glutton,Sister,Socialite",1,0.25,4.25,4
"309","Academy,Glutton",1,0.143,6.429,7
"310","Glutton,Mercenary,Sister,Twinshot",0.889,0.333,3.111,9
"311","Cuddly,Enchanter,Scholar,Socialite",0.857,0.143,4.143,7
"312","Cuddly,Scholar,Yordle",1,0.333,3,3
"313","Bruiser,Glutton,Socialite",1,0.167,5.5,6
"314","Cuddly,Enchanter,Glutton,Transformer",0.875,0.125,2.875,8
"315","Scholar,Socialite,Transformer",1,0.333,4.333,3
"316","Bruiser,Cuddly,Glutton,Mercenary,Sister",1,0.25,2.5,4
"317","Chemtech,Cuddly,Socialite",1,0.25,3.5,4
"318","Challenger,Enforcer,Transformer",1,0.25,5,4
"319","Glutton,Socialite",0.417,0.167,4.5,12
"320","Sister,Sniper",1,0.333,4.333,3
"321","Challenger,Socialite,Transformer",0.75,0.25,4,8
"322","Enchanter,Imperial,Socialite",1,0.25,6.25,4
"323","Sister,Transformer,Twinshot",0.714,0.143,3.714,7
"324","Enchanter,Glutton,Sister,Transformer",1,0.333,3.667,3
"325","Bruiser,Glutton,Sister,Transformer,Twinshot",1,0.5,2.167,6
"326","Bruiser,Glutton,Sister,Socialite,Transformer",1,0.333,2,3
"327","Arcanist,Scholar",1,0.333,3.667,3
"328","Scrap,Sister,Transformer",1,0.25,4,4
"329","Protector,Socialite",1,0.2,5.2,5
"330","Bodyguard,Socialite,Syndicate",0.833,0.167,3.667,6
"331","Bruiser,Cuddly,Glutton,Mutant",1,0.4,2.2,5
"332","Scholar,Yordle",1,0.2,6.4,5
"333","Colossus,Imperial,Transformer",1,0.333,3.667,3
"334","Challenger,Cuddly,Socialite",0.556,0.222,4.444,9
"335","Cuddly,Enchanter,Sister,Socialite,Transformer",1,0.333,3,3
"336","Scholar,Syndicate",1,0.333,4.667,3
"337","Glutton,Syndicate",1,0.25,5.75,4
"338","Cuddly,Imperial",0.643,0.143,4.643,14
"339","Cuddly,Scholar,Transformer",0.857,0.143,3,7
"340","Colossus,Cuddly,Imperial",1,0.25,4.375,8
"341","Challenger,Cuddly,Glutton,Transformer",1,0.25,4.5,4
"342","Bruiser,Cuddly,Mutant,Sister",1,0.333,3,3
"343","Chemtech,Scholar",1,0.5,5.5,4
"344","Innovator,Scholar,Transformer",1,0.5,3.5,4
"345","Cuddly,Enchanter,Innovator,Socialite,Transformer",0.812,0.188,3,16
"346","Cuddly,Glutton,Syndicate",1,0.25,3.25,4
"347","Challenger,Sister,Transformer",1,0.5,3.75,4
"348","Cuddly,Sister,Socialite,Transformer",1,0.167,2.667,6
"349","Colossus,Cuddly,Socialite,Transformer",1,0.333,3.333,3
"350","Bruiser,Glutton,Sniper",1,0.143,2.857,7
"351","Challenger,Cuddly,Mutant",1,0.333,5.333,3
"352","Arcanist,Imperial",1,0.5,4.25,4
"353","Scholar,Socialite",0.714,0.143,5.429,7
"354","Cuddly,Glutton,Mercenary",1,0.375,2.125,8
"355","Transformer,Twinshot",1,0.25,4.75,4
"356","Bruiser,Mercenary,Sister",1,0.333,6.667,3
"357","Enchanter,Glutton",1,0.25,5,4
"358","Bodyguard,Socialite",1,0.25,6,4
"359","Bruiser,Glutton,Mercenary,Twinshot",1,0.5,3.25,4
"360","Glutton,Innovator,Transformer",0.8,0.2,5.6,5
"361","Scrap,Sister,Socialite",1,0.333,4.333,3
"362","Enchanter,Scholar,Socialite",1,0.4,5.8,5
"363","Colossus,Glutton,Mutant",1,0.25,6,4
"364","Arcanist,Bruiser,Glutton,Mutant",1,0.75,2.25,4
"365","Cuddly,Enchanter,Innovator,Socialite",1,0.25,4.5,4
"366","Glutton,Sister,Transformer,Twinshot",1,0.333,3,6
"367","Arcanist,Cuddly,Enchanter,Transformer",1,0.75,2.5,4
"368","Cuddly,Enchanter,Glutton",1,0.4,4,5
"369","Cuddly,Glutton,Mercenary,Sister",1,0.25,5.5,4
"370","Socialite,Yordle",1,0.2,5.8,5
"371","Bruiser,Colossus,Glutton,Mutant",1,0.8,1.6,5
"372","Scrap,Transformer",1,0.333,5,3
"373","Glutton,Twinshot",0.833,0.333,4.167,6
"374","Bruiser,Colossus,Glutton",1,0.286,4.429,7
"375","Colossus,Imperial,Socialite,Transformer",1,0.333,4,3
"376","Enchanter,Sister,Socialite",1,0.25,6.25,4
"377","Mutant,Twinshot",1,0.25,6.25,8
"378","Scholar",1,0.143,6.286,7
"379","Academy,Bodyguard,Protector",1,0.333,5,3
"380","Colossus,Mutant,Protector",1,0.667,2.5,6
"381","Bruiser,Enchanter",1,0.333,3.667,3
"382","Assassin,Bodyguard,Syndicate",1,0.2,3,5
"383","Chemtech,Mutant,Twinshot",1,0.667,5.333,3
"384","Socialite,Yordle,YordleLord",1,0.25,2.5,4
"385","Enchanter,Glutton,Socialite,Transformer",1,0.667,5.333,3
"386","Cuddly,Glutton,Sister,Socialite,Transformer",1,0.6,2.6,5
"387","Cuddly,Scholar,Socialite",0.667,0.222,4.111,9
"388","Colossus,Imperial,Protector,Socialite",1,0.333,2.333,3
"389","Scrap,Yordle",1,0.333,4,3
"390","Challenger,Chemtech",1,0.143,5.429,7
"391","Innovator,Sister,Transformer",0.833,0.333,3.5,6
"392","Arcanist,Cuddly,Enchanter,Scholar",1,0.667,2.667,3
"393","Cuddly,Enchanter,Sister,Socialite",1,0.25,3.5,4
"394","Clockwork,Enchanter",1,0.25,6.75,4
"395","Chemtech,Socialite,Transformer",1,0.333,5.667,3
"396","Challenger,Clockwork",0.667,0.167,5.667,6
"397","Cuddly,Glutton,Mercenary,Sister,Transformer",1,0.333,3.667,3
"398","Cuddly,Twinshot",0.833,0.167,4.333,6
"399","Clockwork,Enforcer,Transformer",1,0.25,5,4
"400","Cuddly,Mutant,Sister",1,0.333,3,3
"401","Enchanter,Mutant,Socialite",1,0.333,3,3
"402","Academy,Challenger,Cuddly,Socialite,Transformer",1,0.333,1.667,3
"403","Sniper,Socialite",1,0.2,5.6,5
"404","Colossus,Socialite",1,0.167,5.833,6
"405","Cuddly,Glutton,Mutant,Transformer",1,0.333,2,3
"406","Challenger,Mercenary",1,0.25,7.25,4
"407","Chemtech,Cuddly,Sister,Transformer",0.833,0.167,3.667,6
"408","Bruiser,Cuddly,Mutant",1,0.143,2.571,7
"409","Colossus,Mutant,Transformer",1,0.333,3.667,3
"410","Bruiser,Twinshot",1,0.333,4,3
"411","Academy,Sister",1,0.333,5.333,3
"412","Cuddly,Glutton,Twinshot",1,0.333,2.667,3
"413","Bruiser,Mercenary",1,0.5,6.833,6
"414","Enforcer,Sister,Socialite,Transformer",1,0.333,2.667,3
"415","Clockwork,Cuddly,Enchanter,Transformer",1,0.5,1.75,4
"416","Enchanter,Sniper,Socialite",1,0.5,3,4
"417","Bruiser,Colossus",1,0.25,7.25,4
"418","Arcanist,Cuddly,Glutton,Socialite",1,0.333,3.667,3
"419","Scrap,Sister",1,0.333,3.167,6
"420","Clockwork,Enchanter,Socialite",1,0.667,3.333,3
"421","Mercenary,Sister",1,0.333,6.667,3
"422","Cuddly,Enforcer,Glutton,Sister,Transformer",1,0.667,1.333,3
"423","Colossus,Imperial,Protector",1,0.25,5.75,4
"424","Academy,Protector,Socialite",1,0.333,4.333,3
"425","Chemtech,Mutant",0.833,0.167,4,6
"426","Academy,Cuddly,Glutton,Transformer",1,0.25,4,4
"427","Bruiser,Glutton,Mutant,Sister",1,0.25,4,4
"428","Bruiser,Glutton,Mercenary,Sister,Transformer",1,0.333,3.667,3
"429","Bruiser,Cuddly,Glutton,Sister,Socialite",1,0.333,2,3
"430","Cuddly,Mutant,Protector",1,0.5,2.5,4
"431","Glutton,Mercenary,Transformer,Twinshot",1,0.667,1.667,3
"432","Socialite,Twinshot",1,0.333,7,3
"433","Bruiser,Cuddly,Glutton,Mercenary",1,0.667,1.333,3
"434","Bruiser,Challenger,Glutton,Mercenary",1,0.333,3.667,3
"435","Challenger,Sister",1,0.2,3.4,5
"436","Enchanter,Imperial",1,0.333,5.333,3
"437","Mercenary,Socialite",1,1,8,3
"438","Protector,Sister",1,0.667,3.667,3
"439","Challenger,Mutant",1,0.25,3.5,4
"440","Assassin,Cuddly,Transformer",1,0.333,3.667,3
"441","Glutton,Transformer,Twinshot",1,0.25,4.75,4
"442","Academy,Cuddly,Scholar,Transformer",1,0.333,4,3
"443","Bruiser,Chemtech,Sister,Transformer,Twinshot",1,0.333,5,3
"444","Cuddly,Innovator,Scholar,Transformer",1,0.333,4.333,3
